dependency_type,name,version,spdx_license
python,pytz,2026.3.post1,MIT
python,PyYAML,6.0.3,MIT
python,pyzmq,26.4.0,BSD-3-Clause
python,regex,2026.7.19,Apache-2.0 AND CNRI-Python
python,requests,2.34.2,Apache-2.0
python,retrying,1.4.2,Apache-2.0
python,rich,14.1.0,MIT
python,rich-rst,2.1.0,MIT
python,ruamel.yaml,0.18.17,MIT
python,ruamel.yaml.clib,0.2.15,MIT
python,safetensors,0.8.0,Apache-2.0
python,scikit-learn,1.9.0,BSD-3-Clause
python,scipy,1.18.1,BSD-3-Clause
python,seaborn,0.13.2,BSD-3-Clause
python,sentencepiece,0.2.2,Apache-2.0
python,setproctitle,1.3.7,BSD-3-Clause
python,shellingham,1.5.4,ISC
python,simplejson,4.1.1,MIT OR AFL-2.1
python,six,1.17.0,MIT
python,soundfile,0.13.1,BSD-3-Clause
python,SQLAlchemy,2.0.52,MIT
python,starlette,1.6.0,BSD-3-Clause
python,starlette-compress,1.8.0,0BSD
python,sympy,1.14.0,BSD-3-Clause
python,textual,5.3.0,MIT
python,threadpoolctl,3.6.0,BSD-3-Clause
python,tiktoken,0.14.0,MIT
python,tokenizers,0.22.2,Apache-2.0
python,torch,2.13.0+cpu,Apache-2.0 AND Apache-2.0 WITH LLVM-exception AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND MIT
python,tqdm,4.70.0,MPL-2.0 AND MIT
python,transformers,5.15.1,Apache-2.0
python,typer,0.27.1,MIT
python,typing-inspect,0.9.0,MIT
python,typing-inspection,0.4.4,MIT
python,typing_extensions,4.16.0,PSF-2.0
python,tzdata,2026.3,Apache-2.0
python,uc-micro-py,2.0.0,MIT
python,urllib3,2.7.0,MIT
python,uvicorn,0.52.4,BSD-3-Clause
python,uvloop,0.22.1,Apache-2.0 AND MIT
python,watchfiles,1.2.0,MIT
python,websockets,17.0.1,BSD-3-Clause
python,Werkzeug,3.1.8,BSD-3-Clause
python,xxhash,4.0.1,BSD-2-Clause
python,yarl,1.24.5,Apache-2.0
python,zipp,4.1.0,MIT
python,zstandard,0.25.0,BSD-3-Clause
